BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,2907,24, ,A1, 4090 PARK AVENUE , ,10457,1,0,1,"2,500","1,474",1901, 1 , A1 ," $241,500 ",2018/8/17
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3030,62, ,A1, 4463 PARK AVENUE , ,10457,1,0,1,"1,578","1,470",1899, 1 , A1 ," $180,000 ",2018/3/22
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3030,70, ,A1, 4445 PARK AVENUE , ,10457,1,0,1,"1,694","1,497",1899, 1 , A1 ," $246,000 ",2017/11/6
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3030,70, ,A1, 4445 PARK AVENUE , ,10457,1,0,1,"1,694","1,497",1899, 1 , A1 ," $255,000 ",2018/3/5
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3037,101, ,S0, 443 EAST 180 STREET , ,10457,1,2,3,"1,293","2,820",1952, 1 , S0 ," $325,000 ",2017/11/13
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1, 2329 WASHINGTON AVENUE , ,10458,1,0,1,"1,103","1,290",1910, 1 , A1 ," $340,000 ",2018/2/22
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3039,63, ,A1, 469 EAST 185 STREET , ,10458,1,0,1,"1,650","1,296",1910, 1 , A1 ," $210,000 ",2018/2/15
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3046,13, ,S1, 2046 WASHINGTON AVENUE , ,10457,1,1,2,"1,791","1,804",1899, 1 , S1 ," $305,000 ",2018/7/18
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3046,27, ,A1, 2090 WASHINGTON  AVENUE , ,10457,1,0,1,"2,356","2,213",1901, 1 , A1 ," $365,000 ",2018/2/23
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3047,11, ,A1, 482 E 181ST ST , ,10457,1,0,1,"1,556","1,240",1901, 1 , A1 ," $365,000 ",2018/3/22
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3048,28, ,A1, 540 EAST 182 STREET , ,10457,1,0,1,"1,209","1,048",1901, 1 , A1 ," $375,000 ",2018/6/19
2,BATHGATE,01 ONE FAMILY DWELLINGS                    ,1,3050,91, ,A9, 503 EAST 182ND STREET , ,10457,1,0,1,"1,960","1,705",1901, 1 , A9 ," $375,000 ",2018/8/22
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2898,13, ,S2, 1720 WEBSTER AVENUE , ,10457,2,1,3,"3,048","2,970",1931, 1 , S2 ," $600,000 ",2018/3/20
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1, 1540 WASHINGTON AVENUE , ,10457,2,0,2,"2,000","2,400",1993, 1 , B1 , $-   ,2018/3/26
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2912,129, ,B1, 480 CLAREMONT PARKWAY , ,10457,2,0,2,"2,000","2,400",1993, 1 , B1 ," $515,000 ",2018/1/19
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2912,155, ,B1, 511 EAST 171 STREET , ,10457,2,0,2,"2,000","2,400",1993, 1 , B1 ," $470,000 ",2018/9/28
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2927,127, ,B1, 1473 CROTONA PLACE , ,10456,2,0,2,"1,900","2,394",1994, 1 , B1 ," $540,000 ",2018/5/30
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2929,119, ,B1, 3864 3 AVENUE , ,10457,2,0,2,"2,432","2,394",1995, 1 , B1 ," $318,500 ",2018/6/28
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2929,134, ,B1, 547 CLAREMONT PARKWAY , ,10457,2,0,2,"2,356","2,394",1995, 1 , B1 ," $570,000 ",2018/6/5
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3030,149, ,S2, 2260 WEBSTER AVENUE , ,10457,2,1,3,"1,620","3,240",1931, 1 , S2 ," $483,668 ",2017/12/20
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3, 4465 PARK AVENUE , ,10457,2,0,2,"1,569","1,497",1899, 1 , B3 ," $498,084 ",2017/11/13
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3034,137, ,B1, 1941 WASHINGTON AVENUE , ,10457,2,0,2,"2,663","3,204",1995, 1 , B1 ," $520,000 ",2018/7/23
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3035,135, ,B1, 1993 WASHINGTON AVENUE , ,10457,2,0,2,"2,910","2,340",1998, 1 , B1 , $-   ,2018/4/11
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3036,62, ,B1, 459 EAST 179 STREET , ,10457,2,0,2,"2,000","2,340",1998, 1 , B1 ," $415,000 ",2018/8/29
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3036,65, ,B1, 455 E. 179TH STREET , ,10457,2,0,2,"2,033","2,340",1998, 1 , B1 ," $725,000 ",2018/8/28
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,19, ,B3, 466 EAST 185 STREET , ,10458,2,0,2,"1,800","1,944",1910, 1 , B3 ," $635,000 ",2018/8/29
