price,id,name,room_type,accommodates,zipcode,bedrooms,beds,latitude,longitude,cleaning_fee,bathrooms,review_scores_rating,neighbourhood_cleansed,number_of_reviews,security_deposit,host_listings_count,neighbourhood
59.0,2515,Stay at Chez Chic budget room #1,Private room,3,10026,1.0,2.0,40.79920479936168,-73.95367574543542,60.0,1.0,93.0,Harlem,173,0.0,3.0,Harlem
149.0,2539,Clean & quiet apt home by the park,Private room,4,11218,1.0,3.0,40.64748608166989,-73.97236954007957,25.0,1.0,98.0,Kensington,8,100.0,8.0,Kensington
225.0,2595,Skylit Midtown Castle,Entire home/apt,2,10018,0.0,1.0,40.753620726572464,-73.98377381114605,100.0,1.0,94.0,Midtown,36,350.0,5.0,Midtown
70.0,3330,++ Brooklyn Penthouse Guestroom ++,Private room,2,11206,1.0,1.0,40.70855778333159,-73.94236227640226,125.0,1.0,97.0,Williamsburg,34,150.0,5.0,Williamsburg
185.0,5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,2,10016,1.0,1.0,40.74767176908579,-73.97499733931186,125.0,1.0,87.0,Murray Hill,66,300.0,1.0,Murray Hill
129.0,5172,Quiet Slice of Manhattan,Entire home/apt,2,10016,1.0,1.0,40.74495768021798,-73.9742009976176,90.0,1.0,94.0,Murray Hill,82,200.0,1.0,Murray Hill
120.0,5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,3,10002,1.0,2.0,40.71344378719157,-73.99037467751003,40.0,1.0,93.0,Chinatown,149,0.0,4.0,Chinatown
135.0,5295,Beautiful 1br on Upper West Side,Entire home/apt,2,10025,1.0,1.0,40.803158111055154,-73.9654464539624,60.0,1.0,94.0,Upper West Side,42,450.0,1.0,Upper West Side
145.0,5435,Upper West Side-Unique One Bedroom,Entire home/apt,2,10025,1.0,1.0,40.80155011837293,-73.97000075818522,60.0,1.0,91.0,Upper West Side,26,0.0,2.0,Upper West Side
85.0,6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,1,10025,1.0,1.0,40.79826449437067,-73.96113437012923,80.0,1.0,92.0,Upper West Side,93,200.0,1.0,Upper West Side
175.0,6090,West Village Nest - Superhost,Entire home/apt,1,10014,1.0,1.0,40.73530467739521,-74.00524659134572,100.0,1.0,97.0,West Village,26,500.0,1.0,West Village
65.0,7036,Large Guest Room for Broolyn Condo,Private room,2,11218,1.0,1.0,40.64522258469386,-73.9829297847068,30.0,1.0,100.0,Kensington,4,200.0,3.0,Kensington
150.0,7064,"Bright calm peaceful loft, amazing location, Wburg",Private room,1,11211,1.0,1.0,40.71264260808676,-73.95862442929824,50.0,1.0,97.0,Williamsburg,9,500.0,1.0,Williamsburg
140.0,7322,Chelsea Perfect,Private room,3,10011,1.0,1.0,40.74687317101982,-74.00595199525428,0.0,1.0,96.0,Chelsea,248,0.0,1.0,Chelsea
99.0,7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,3,11216,1.0,1.0,40.67591925867425,-73.94693876990418,50.0,1.0,97.0,Crown Heights,12,500.0,1.0,Crown Heights
130.0,8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Private room,4,11217,1.0,2.0,40.68069398297942,-73.97705849663005,10.0,3.0,93.0,Park Slope,117,0.0,5.0,Park Slope
49.0,8225,Stay at Chez Chic budget Room #2,Private room,3,10026,1.0,2.0,40.79903412423927,-73.95406295429153,65.0,1.0,92.0,Harlem,148,0.0,3.0,Harlem
272.0,8343,"Quiet, Spacious 3BR, 1.5 BA EV apt w/yard",Entire home/apt,7,10009,3.0,4.0,40.72480817161134,-73.9805652508546,120.0,1.5,97.0,East Village,13,500.0,3.0,East Village
120.0,8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,5,11216,1.0,4.0,40.68371074899763,-73.94027774242902,90.0,1.0,95.0,Bedford-Stuyvesant,72,300.0,2.0,Bedford-Stuyvesant
60.0,8505,Sunny Bedroom Across Prospect Park,Private room,2,11218,1.0,1.0,40.65609890369585,-73.97394715335831,25.0,1.0,100.0,Windsor Terrace,9,0.0,2.0,Windsor Terrace
44.0,9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Private room,2,10034,1.0,1.0,40.864816759303004,-73.92105541303916,20.0,1.0,83.0,Inwood,99,0.0,1.0,Inwood
50.0,9668,front room/double bed,Private room,2,10031,1.0,1.0,40.822451625690825,-73.95103642780582,50.0,1.0,87.0,Harlem,222,0.0,3.0,Harlem
52.0,9704,Spacious 1 bedroom in luxe building,Private room,2,10027,1.0,1.0,40.81305263415477,-73.95466168199486,50.0,1.5,98.0,Harlem,75,150.0,1.0,Harlem
50.0,9783,back room/bunk beds,Private room,2,10031,1.0,2.0,40.82130179610574,-73.95318340801697,50.0,1.0,88.0,Harlem,252,0.0,3.0,Harlem
88.0,10962,"Lovely room 2 & garden; Best area, Legal rental",Private room,2,11215,1.0,2.0,40.66869253514209,-73.98779831181402,64.0,1.0,94.0,South Slope,156,200.0,3.0,South Slope
35.0,12048,LowerEastSide apt share shortterm 1,Shared room,1,10002,1.0,1.0,40.71400913024212,-73.98917149022176,0.0,1.0,96.0,Lower East Side,204,0.0,4.0,Lower East Side
68.0,12192,ENJOY Downtown NYC!,Private room,2,10009,1.0,1.0,40.722901227616475,-73.9819903872558,30.0,1.0,87.0,East Village,229,100.0,2.0,East Village
120.0,12299,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,2,11215,1.0,1.0,40.66277874790975,-73.97966003099255,100.0,1.0,97.0,South Slope,7,500.0,1.0,South Slope
150.0,12627,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,2,11225,1.0,1.0,40.65943533447946,-73.96238026405102,100.0,1.0,96.0,Prospect-Lefferts Gardens,6,500.0,1.0,Prospect-Lefferts Gardens
110.0,12940,Charming Brownstone 3 - Near PRATT,Entire home/apt,2,11238,1.0,1.0,40.681112241394885,-73.95591103683243,90.0,1.0,85.0,Bedford-Stuyvesant,52,500.0,6.0,Bedford-Stuyvesant
115.0,13050,bright and stylish duplex,Entire home/apt,5,11221,2.0,2.0,40.6855422591363,-73.94090222739212,85.0,1.0,94.0,Bedford-Stuyvesant,11,150.0,1.0,Bedford-Stuyvesant
70.0,13076,SPACIOUS SUNNY ROOM,Private room,1,11238,0.0,1.0,40.67504513138148,-73.96436638745007,100.0,1.0,90.0,Prospect Heights,12,200.0,2.0,Prospect Heights
68.0,13121,(E) RIGHT ON BUDGET,Private room,4,11434,1.0,2.0,40.67116992171484,-73.7657642820383,25.0,1.0,83.0,Jamaica,65,150.0,7.0,Jamaica
80.0,13394,Fort Greene brownstone ,Private room,2,11205,1.0,1.0,40.691424488290075,-73.97375764368728,50.0,1.0,94.0,Fort Greene,123,300.0,2.0,Fort Greene
225.0,14290,* ORIGINAL BROOKLYN LOFT *,Entire home/apt,2,11206,2.0,2.0,40.704201943340934,-73.93559681582632,128.0,1.0,94.0,Williamsburg,71,350.0,4.0,Williamsburg
144.0,14314,Greenpoint Place...Has It All! ,Entire home/apt,4,11222,1.0,2.0,40.735060823033706,-73.95392338061228,0.0,1.0,96.0,Greenpoint,131,250.0,2.0,Greenpoint
140.0,14377,Williamsburg 1 bedroom Apartment,Entire home/apt,2,11211,1.0,1.0,40.70880818684364,-73.95930151344403,50.0,1.0,97.0,Williamsburg,99,500.0,1.0,Williamsburg
145.0,14694,Large bedrm kitchen lounge  garden Victorian House,Private room,2,11230,1.0,1.0,40.63553128039271,-73.95986754757979,70.0,2.0,100.0,Flatbush,6,400.0,3.0,Flatbush
135.0,14708,"Brooklyn, Ditmas Park, The Roost",Private room,2,11230,1.0,1.0,40.63470761598411,-73.96077734787997,70.0,2.0,98.0,Flatbush,9,400.0,3.0,Flatbush
100.0,14991,"Great Location, Manhattan Bedroom!",Private room,1,10002,1.0,1.0,40.720035299893325,-73.99104095326338,0.0,1.0,98.0,Lower East Side,16,0.0,1.0,Lower East Side
185.0,15230,Charming 2 Bedroom Yard Access,Entire home/apt,4,11221,2.0,3.0,40.68661582660082,-73.93275249881664,120.0,1.0,88.0,Bedford-Stuyvesant,9,300.0,7.0,Bedford-Stuyvesant
